"","Stop_ID","Stop_Name"
"435",21009,"Girard Av & 20th St"
"436",21010,"Girard Av & Corinthian Av"
"437",21014,"Poplar St & 25th St"
"438",21016,"Girard Av & 26th St "
"439",21017,"Girard Av & 27th St"
"440",21018,"Girard Av & 28th St"
"441",21019,"Girard Av & 29th St"
"442",21021,"Girard Av & 31st St"
"443",21022,"Girard Av & 33rd St"
"444",21025,"Girard Av & 39th St"
"445",21026,"Girard Av & 41st St"
"446",21027,"Girard Av & 42nd St"
"447",21028,"Girard Av & Belmont Av"
"448",21030,"Girard Av & 49th St"
"449",21032,"Girard Av & 51st St"
"450",21033,"Girard Av & 52nd St"
"451",21035,"Girard Av & 54th St"
"452",21037,"Girard Av & 56th St"
"453",21038,"Girard Av & 57th St"
"454",21040,"Girard Av & 60th St"
"455",21041,"Haverford Av & 61st St"
"456",21042,"Haverford Av & 62nd St"
"457",21044,"Girard Av & 63rd St - MBFS"
"458",21047,"Girard Av & 61st St"
"459",21048,"Girard Av & 60th St"
"460",21050,"Girard Av & 57th St"
"461",21051,"Girard Av & 56th St"
"462",21053,"Girard Av & 54th St"
"463",21055,"Girard Av & 52nd St"
"464",21056,"Girard Av & 51st St"
"465",21058,"Girard Av & Lancaster Av"
"466",21060,"Girard Av & Belmont Av - FS"
"467",21061,"Girard Av & 42nd St"
"468",21062,"Girard Av & 41st St"
"469",21063,"Girard Av & 39th St"
"470",21067,"Girard Av & 31st St"
"471",21068,"Girard Av & 29th St"
"472",21069,"Girard Av & 28th St"
"473",21070,"Girard Av & 27th St"
"474",21071,"Girard Av & 26th St"
"475",21072,"26th St & Poplar St"
"476",21073,"Poplar St & Stillman St"
"477",21075,"College Av & 24th St - FS"
"478",21078,"Girard Av & Corinthian Av"
"479",21079,"Girard Av & 20th St"
"480",21080,"Girard Av & 19th St"
"481",21081,"Girard Av & Ridge Av"
"482",21082,"Girard Av & 17th St"
"483",21083,"Girard Av & 16th St"
"484",21086,"Girard Av & 12th St"
"485",21087,"Girard Av & 11th St"
"486",21090,"Girard Av & 8th St"
"487",21091,"Girard Av & 7th St"
"488",21093,"Girard Av & 5th St"
"489",21095,"Girard Av & 3rd St"
"490",21096,"Girard Av & 2nd St"
"491",21201,"Grays Av & 49th St"
"492",21208,"Woodland Av & 53rd St"
"493",21209,"Chester Av & 65th St - FS"
"494",21248,"40th St & Market St"
"495",21481,"Haverford Av & 63rd St"
"496",23992,"Frankford Av & Richmond St "
"497",24038,"Frankford Av & Richmond St "
"498",24039,"Frankford Av & Delaware Av"
"499",24568,"Main St & Mill St "
"500",24738,"Island Av & Suffolk Av - MBFS"
"501",25241,"Main St & Powell Av"
"502",29523,"MacDade Blvd Station - FS"
"503",30290,"Girard Av & 19th St"
"504",30291,"Girard Av & 34th St - MBFS"
"505",30292,"Girard Av & 34th St - MBNS"
"506",30374,"Clifton Aldan Station"
"507",30375,"Penn St Station"
"508",30376,"Baltimore Av Station - FS"
"509",30494,"Lansdowne Av Station"
"510",30544,"Springfield Rd Station"
"511",30550,"Girard Av & Merion Av"
"512",30595,"Grays Av & 51st St"
"513",30605,"Girard Av & Merion Av"
"514",30607,"Scenic Rd Station"
"515",30791,"Girard Av & 24th St"
"516",30865,"Chester Av & Yeadon Av"
"517",30866,"10th St & Main St"
"518",31140,"15th St Trolley Station"
"519",31218,"65th St & Belmar St"
"520",31289,"Frankford Av & Delaware Av - FS"
"521",31294,"Malvern Av & 63rd St Loop - 2 onsite"
"522",31347,"Frankford Av & Delaware Av Loop"
"523",31443,"Girard Av & 62nd St"
"524",31488,"Lancaster Av & Powelton Av"
"525",31540,"Frankford Av & Girard Av - FS"
"526",2,"Ridge Av & Lincoln Dr  - FS"
"527",4,"Roosevelt Blvd & Broad St - FS"
"528",5,"Roosevelt Blvd & 5th St"
"529",7,"Roosevelt Blvd & Pratt St"
"530",8,"Roosevelt Blvd & Cottman Av"
"531",9,"Roosevelt Blvd & Holme Av"
"532",10,"Roosevelt Blvd & Woodward St"
"533",11,"Comly Rd & Roosevelt Blvd - MBFS"
"534",12,"Decatur Rd & Drummond Rd - MBNS"
"535",14,"Townsend Rd & McNulty Rd - MBNS 2"
"536",16,"Caroline Rd & Comly Rd - MBFS"
"537",17,"Comly Rd & Caroline Rd"
"538",18,"Roosevelt Blvd & Byberry Rd - FS"
"539",19,"Roosevelt Blvd & Comly Rd"
"540",21,"Roosevelt Blvd & Solly Av - FS"
"541",22,"Roosevelt Blvd & Cottman Av"
"542",23,"Roosevelt Blvd & Pratt St - FS"
"543",24,"Roosevelt Blvd & Tower Blvd - FS"
"544",25,"Roosevelt Blvd & 5th St"
"545",28,"Wissahickon Transportation Center - onsite"
"546",30,"Pulaski Av & Pike St"
"547",31,"17th St & Huntingdon St"
"548",32,"17th St & Girard Av"
"549",33,"17th St & Spring Garden St"
"550",34,"17th St & Market St"
"551",35,"17th St & Pine St"
"552",36,"17th St & Washington Av"
"553",37,"17th St & Snyder Av"
"554",38,"19th St & Moyamensing Av"
"555",39,"20th St & Johnston St"
"556",40,"20th St & Johnston St"
"557",41,"16th St & Snyder Av"
"558",42,"16th St & Washington Av"
"559",43,"16th St & Pine St"
"560",45,"16th St & Girard Av"
"561",46,"Huntingdon St & 16th St - FS"
"562",47,"17th St & Lehigh Av"
"563",48,"Hunting Park Av & Pulaski Av"
"564",51,"Kensington Av & Allegheny Av"
"565",52,"Front St & Dauphin St"
"566",53,"Cecil B Moore Av & Broad St"
"567",54,"Cecil B Moore Av & 20th St"
"568",55,"33rd St & Cecil B Moore Av Loop"
"569",57,"Cecil B Moore Av & 20th St"
"570",58,"Cecil B Moore Av & Broad St"
"571",64,"Frankford Av & Torresdale Av"
"572",65,"Frankford Av & Lehigh Av"
"573",67,"2nd St & Green St"
"574",69,"Front St & Market St Loop"
"575",70,"3rd St & Spring Garden St"
"576",72,"Frankford Av & Lehigh Av"
"577",73,"Frankford Av & Torresdale Av"
"578",77,"Ogontz Av & 69th Av"
"579",78,"Ogontz Av & Haines St"
"580",79,"Ogontz Av & 66th Av"
"581",80,"Ogontz Av & Stenton Av"
"582",84,"Ogontz Av & Chelten Av - FS"
"583",85,"Ogontz Av & 66th Av"
"584",86,"Ogontz Av & Haines St"
"585",89,"Cheltenham Av & Ogontz Av - FS"
